EnsaioId;line;Conc Albumina;Conc Creatinina;Conc Ureia;Estadio;LED1_avg;LED2_avg;LED3_avg;LED4_avg;LED5_avg;LED6_avg
941;23;4,4;1,16;38;Estadio 2;2,6604;0,382;2,65573;0,789691;2,66503;1,76439
941;23;4,4;1,16;38;Estadio 2;2,66028;0,382097;2,65561;0,791773;2,66496;1,76394
941;23;4,4;1,16;38;Estadio 2;2,66028;0,382096;2,6556;0,790043;2,66495;1,76586
941;23;4,4;1,16;38;Estadio 2;2,66028;0,382083;2,65559;0,790377;2,66497;1,76748
941;23;4,4;1,16;38;Estadio 2;2,6602;0,38212;2,6556;0,790354;2,66483;1,76781
941;23;4,4;1,16;38;Estadio 2;2,66036;0,381946;2,65569;0,79;2,66498;1,76845
922;5;4,5;0,7;52;Estadio 0;2,66007;0,380566;2,65535;0,812712;2,66477;1,76823
922;5;4,5;0,7;52;Estadio 0;2,66007;0,380483;2,65525;0,810763;2,66481;1,76827
922;5;4,5;0,7;52;Estadio 0;2,66006;0,380525;2,65535;0,811083;2,66484;1,76792
922;5;4,5;0,7;52;Estadio 0;2,66007;0,380476;2,65522;0,811195;2,66481;1,76543
922;5;4,5;0,7;52;Estadio 0;2,65992;0,380539;2,65524;0,811426;2,66469;1,76076
922;5;4,5;0,7;52;Estadio 0;2,65999;0,3805;2,65521;0,810992;2,66477;1,7602
922;5;4,5;0,7;52;Estadio 0;2,65989;0,380563;2,6552;0,81095;2,66464;1,75888
922;5;4,5;0,7;52;Estadio 0;2,6599;0,38048;2,65522;0,811531;2,66465;1,75966
922;5;4,5;0,7;52;Estadio 0;2,65999;0,380482;2,65525;0,811043;2,6648;1,75823
922;5;4,5;0,7;52;Estadio 0;2,6599;0,380477;2,65521;0,811092;2,66468;1,75833
945;24;3,9;1,7;36;Estadio 2;2,66036;0,382381;2,65571;0,791576;2,66503;1,7405
945;24;3,9;1,7;36;Estadio 2;2,66036;0,382334;2,65581;0,791612;2,66512;1,74135
945;24;3,9;1,7;36;Estadio 2;2,6604;0,382246;2,65578;0,791368;2,6651;1,74282
945;24;3,9;1,7;36;Estadio 2;2,66034;0,382255;2,65581;0,792112;2,66501;1,74103
945;24;3,9;1,7;36;Estadio 2;2,66023;0,382343;2,65559;0,791316;2,66488;1,74272
945;24;3,9;1,7;36;Estadio 2;2,66048;0,382031;2,65577;0,790954;2,66516;1,74434
945;24;3,9;1,7;36;Estadio 2;2,66034;0,382238;2,65579;0,791067;2,66498;1,74617
945;24;3,9;1,7;36;Estadio 2;2,66046;0,382143;2,65577;0,790779;2,66511;1,74907
945;24;3,9;1,7;36;Estadio 2;2,66025;0,38229;2,65551;0,791365;2,66488;1,75177
945;24;3,9;1,7;36;Estadio 2;2,66042;0,382105;2,65578;0,790941;2,66506;1,75153
947;14;4,5;0,82;36;Estadio 1;2,66065;0,382043;2,65597;0,796451;2,66534;1,73719
947;14;4,5;0,82;36;Estadio 1;2,66064;0,381958;2,65604;0,796326;2,66535;1,73607
947;14;4,5;0,82;36;Estadio 1;2,66055;0,382075;2,65593;0,795318;2,66526;1,72949
947;14;4,5;0,82;36;Estadio 1;2,6606;0,381957;2,656;0,796455;2,66531;1,73476
947;14;4,5;0,82;36;Estadio 1;2,66056;0,382095;2,65591;0,795543;2,6653;1,73053
947;14;4,5;0,82;36;Estadio 1;2,66063;0,381951;2,65597;0,79588;2,66533;1,732
947;14;4,5;0,82;36;Estadio 1;2,66057;0,381812;2,65591;0,795566;2,66525;1,73299
947;14;4,5;0,82;36;Estadio 1;2,66047;0,381919;2,65591;0,796281;2,66517;1,73224
947;14;4,5;0,82;36;Estadio 1;2,66046;0,381942;2,65589;0,794929;2,66524;1,73238
947;14;4,5;0,82;36;Estadio 1;2,66044;0,381856;2,65581;0,795218;2,66517;1,73967
926;4;4,6;0,9;51;Estadio 0;2,66025;0,380775;2,6556;0,810476;2,66495;1,73486
926;4;4,6;0,9;51;Estadio 0;2,66023;0,380716;2,65555;0,810169;2,66496;1,73038
926;4;4,6;0,9;51;Estadio 0;2,66026;0,380626;2,65569;0,810877;2,66501;1,72992
926;4;4,6;0,9;51;Estadio 0;2,66013;0,380718;2,65552;0,809968;2,66487;1,73028
926;4;4,6;0,9;51;Estadio 0;2,66018;0,380594;2,6555;0,811;2,6649;1,73034
926;4;4,6;0,9;51;Estadio 0;2,66036;0,380254;2,65576;0,810419;2,6651;1,72999
926;4;4,6;0,9;51;Estadio 0;2,66052;0,380242;2,65586;0,810931;2,66523;1,72954
926;4;4,6;0,9;51;Estadio 0;2,66053;0,380235;2,65589;0,811139;2,66526;1,73021
926;4;4,6;0,9;51;Estadio 0;2,66027;0,380518;2,65566;0,811363;2,66499;1,72989
926;4;4,6;0,9;51;Estadio 0;2,66008;0,380664;2,65537;0,810927;2,6648;1,72813
951;13;4,6;0,85;53;Estadio 1;2,66058;0,382617;2,65603;0,796726;2,66521;1,71157
951;13;4,6;0,85;53;Estadio 1;2,66038;0,382674;2,65587;0,796677;2,66506;1,71778
951;13;4,6;0,85;53;Estadio 1;2,6605;0,382376;2,65598;0,795425;2,66522;1,72239
951;13;4,6;0,85;53;Estadio 1;2,6604;0,382398;2,65597;0,796252;2,66508;1,71585
951;13;4,6;0,85;53;Estadio 1;2,66026;0,382535;2,6558;0,795889;2,66498;1,71839
951;13;4,6;0,85;53;Estadio 1;2,66048;0,382241;2,65595;0,795601;2,66518;1,71237
951;13;4,6;0,85;53;Estadio 1;2,66067;0,382006;2,65609;0,796639;2,6653;1,71128
951;13;4,6;0,85;53;Estadio 1;2,66052;0,382074;2,65593;0,796315;2,66528;1,71256
951;13;4,6;0,85;53;Estadio 1;2,66038;0,382275;2,65584;0,797051;2,6651;1,71192
951;13;4,6;0,85;53;Estadio 1;2,66033;0,382436;2,65588;0,797398;2,66505;1,71046
937;3;4,1;0,95;19;Estadio 0;2,66058;0,381928;2,65582;0,792929;2,66524;1,77668
937;3;4,1;0,95;19;Estadio 0;2,6604;0,382011;2,65565;0,79386;2,66513;1,7754
937;3;4,1;0,95;19;Estadio 0;2,66054;0,381876;2,65579;0,794953;2,66524;1,7772
937;3;4,1;0,95;19;Estadio 0;2,66041;0,381873;2,65571;0,79456;2,66512;1,77509
937;3;4,1;0,95;19;Estadio 0;2,66038;0,381885;2,65566;0,794797;2,66506;1,77425
